full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T,full_name,da_dt,e_da_dt,A2,SNR,FAccept,Tax,deltat
(2000 AA6),3025766,True,True,1.29,0.519,2.03,0.618,1.95,533.0,0.676,219.0,22.44,0.316,0.026,,,,,2000 AA6,0.00714094,0.000946907,1.39301e-13,7.54133,Rej.,N,19.009
152671 (1998 HL3),20152671,True,True,1.13,0.366,2.68,0.716,1.54,438.0,0.822,255.0,20.24,0.298,0.2,,,,,152671,-0.00229334,0.000308055,-4.96914e-14,7.44456,1,N,24.928
(2022 QX4),54297628,True,False,0.681,0.505,0.138,0.337,1.02,205.0,1.75,99.7,24.7,,,0.088812,,,,2022 QX4,-0.0287727,0.00386977,-4.16668e-13,7.43526,1,N,9.092
350523 (2000 EA14),20350523,True,True,1.12,0.203,3.56,0.891,1.34,432.0,0.834,13.6,21.16,,,,,,,350523,0.00282663,0.000382406,6.7461e-14,7.39171,1,S,19.258
467351 (2003 KO2),20467351,True,True,0.728,0.511,23.5,0.356,1.1,227.0,1.59,266.0,20.36,,,6.48,,,,467351,0.00205213,0.000277777,3.04694e-14,7.3877,1,N,18.078
494710 (2005 MO13),20494710,True,True,0.863,0.411,6.32,0.509,1.22,293.0,1.23,23.1,20.75,,,,,,,494710,-0.00308348,0.00042045,-5.60928e-14,7.33376,1,C,19.967
(2018 GY),3802409,True,False,0.767,0.406,8.75,0.455,1.08,245.0,1.47,298.0,24.83,,,,,,,2018 GY,-0.017828,0.00243387,-3.06706e-13,7.32496,1,N,4.027
334412 (2002 EZ2),20334412,True,False,1.25,0.046,13.0,1.19,1.31,510.0,0.706,149.0,20.32,,,34.077,,,,334412,-0.00209749,0.000289075,-5.50886e-14,7.25588,1,S,21.361
(2012 UK171),3615463,True,False,0.859,0.223,1.29,0.667,1.05,291.0,1.24,272.0,24.46,,,,,,,2012 UK171,-0.00223149,0.000313591,-4.63092e-14,7.11592,1,N,8.219
416151 (2002 RQ25),20416151,True,False,1.11,0.306,4.57,0.771,1.45,428.0,0.841,10.7,20.67,,,12.191,,,,416151,0.00267955,0.000377164,6.02849e-14,7.10448,1,L,20.238
154590 (2003 MA3),20154590,True,True,1.11,0.402,1.42,0.661,1.55,424.0,0.848,36.3,21.7,0.086,0.53,,,,,154590,-0.00410863,0.000579784,-8.52688e-14,7.08648,1,N,20.309
(2015 KJ19),3719475,True,False,2.08,0.745,2.55,0.531,3.63,1100.0,0.328,198.0,22.51,,,,,,,2015 KJ19,0.0168665,0.00238921,2.54993e-13,7.05943,1,C,6.064
747011 (2012 PG6),20747011,True,False,0.837,0.616,6.53,0.321,1.35,280.0,1.29,356.0,20.24,,,10.58,,,,2012 PG6,0.00513801,0.000728081,6.87079e-14,7.05692,1,S,20.101
(2018 KC2),3825017,True,False,1.16,0.232,4.48,0.892,1.43,457.0,0.787,109.0,22.89,,,,,,,2018 KC2,0.0127863,0.00182445,3.06939e-13,7.00829,Rej.,N,10.029
(2005 TF49),3293832,True,True,1.04,0.0254,24.5,1.02,1.07,389.0,0.926,34.7,19.05,,,,,,,2005 TF49,-0.0013109,0.000188163,-3.14893e-14,6.96683,Rej.,N,33.55
(2012 HL31),3603128,True,False,0.888,0.374,19.8,0.556,1.22,305.0,1.18,226.0,22.43,,,,,,,2012 HL31,-0.00657734,0.000947271,-1.25504e-13,6.94347,1,N,9.999
(2010 VK139),3551475,True,False,0.78,0.282,27.0,0.56,1.0,252.0,1.43,103.0,23.71,0.055,0.196,0.0299522,,,,2010 VK139,-0.00769662,0.00110916,-1.47123e-13,6.93912,1,N,11.012
66400 (1999 LT7),20066400,True,False,0.855,0.573,9.06,0.366,1.35,289.0,1.25,25.6,19.27,0.411,0.182,,,,,66400,-0.00166537,0.000242318,-2.43837e-14,6.87266,1,N,35.151
(2021 FR1),54132420,True,False,1.08,0.392,6.96,0.658,1.5,411.0,0.876,320.0,22.39,,,,,,,2021 FR1,-0.0581567,0.00846994,-1.20588e-12,6.86624,Rej.,N,10.768
422686 (2000 AC6),20422686,True,True,0.854,0.287,4.7,0.609,1.1,288.0,1.25,115.0,21.63,0.176,0.143,2.4437,,,,422686,0.00198186,0.000291381,3.95759e-14,6.8016,1,S,22.012
357622 (2005 EY95),20357622,True,True,1.08,0.538,3.17,0.5,1.67,412.0,0.874,187.0,20.32,,,3.925,,,,357622,-0.00234372,0.000346512,-4.07938e-14,6.76375,1,N,20.895
(2012 UU136),3614397,True,True,1.16,0.212,35.6,0.914,1.41,456.0,0.789,269.0,21.45,,,,,,,2012 UU136,0.00404558,0.000600761,9.80039e-14,6.73409,Rej.,N,20.022
(2000 CK59),3031776,True,False,1.48,0.311,5.71,1.02,1.94,655.0,0.549,137.0,24.1,,,,,,,2000 CK59,-0.00715646,0.0010696,-1.84925e-13,6.69078,1,N,8.999
283457 (2001 MQ3),20283457,True,False,2.24,0.455,5.57,1.22,3.25,1220.0,0.295,91.6,19.1,,,,,,,283457,-0.00197923,0.000296781,-5.51202e-14,6.66898,1,X,70.015
424392 (2007 YJ),20424392,True,False,1.1,0.28,3.31,0.795,1.41,423.0,0.851,39.4,22.12,0.239,0.054,,,,,424392,-0.00712048,0.00107048,-1.6236e-13,6.65166,1,N,14.946
(2011 PU1),3574830,True,False,1.3,0.246,4.36,0.983,1.62,544.0,0.662,236.0,25.6,,,,,,,2011 PU1,-0.0175863,0.00264723,-4.4443e-13,6.64329,1,N,5.722
492143 (2013 OE),20492143,True,False,2.03,0.509,9.79,0.998,3.07,1060.0,0.34,7.92,17.65,,,77.51,,,,492143,0.0108178,0.00163759,2.68902e-13,6.60596,Rej.,M,32.734
(2010 XX72),3554011,True,False,0.903,0.284,4.47,0.647,1.16,314.0,1.15,330.0,22.06,,,,,,,2010 XX72,-0.00778087,0.00118481,-1.60146e-13,6.56716,1,N,12.03
2101 Adonis (1936 CA),20002101,True,True,1.87,0.764,1.32,0.442,3.31,937.0,0.384,24.5,18.69,0.6,,,,,,2101,-0.00230349,0.000352815,-3.09243e-14,6.52888,1,N,84.323
4581 Asclepius (1989 FC),20004581,True,True,1.02,0.357,4.92,0.658,1.39,378.0,0.953,233.0,20.74,,,8.008,,,,4581,-0.0017353,0.00026613,-3.60543e-14,6.5205,1,X,32.049
(2015 XC352),3736678,True,False,1.02,0.146,4.48,0.867,1.16,374.0,0.964,173.0,25.82,,,,,,,2015 XC352,-0.032304,0.00497414,-7.5066e-13,6.49438,Rej.,N,3.578
(2011 JW10),3565395,True,False,1.31,0.215,21.6,1.03,1.59,548.0,0.657,193.0,23.14,,,,,,,2011 JW10,-0.00790606,0.00121866,-2.03239e-13,6.4875,1,N,12.052
69230 Hermes (1937 UB),20069230,True,True,1.66,0.624,6.07,0.622,2.69,778.0,0.463,105.0,17.68,,,13.894,,,,69230,-0.000615884,9.55055e-05,-1.1394e-14,6.44867,1,N,85.654
(1994 GL),3092124,True,False,0.683,0.504,3.68,0.339,1.03,206.0,1.74,163.0,25.5,,,,,,,1994 GL,0.0305503,0.00476214,4.43709e-13,6.41526,1,N,25.999
33342 (1998 WT24),20033342,True,True,0.719,0.418,7.37,0.419,1.02,223.0,1.62,315.0,18.02,0.432,0.654,3.697,,,,33342,-0.00149289,0.000232787,-2.45931e-14,6.41312,1,K,23.242
(2020 FW6),54016425,True,False,1.31,0.299,25.5,0.92,1.7,548.0,0.656,211.0,23.22,,,,,,,2020 FW6,-0.00528521,0.000825018,-1.29812e-13,6.40618,1,N,12.03
506590 (2005 XB1),20506590,True,False,1.13,0.419,8.71,0.658,1.61,440.0,0.819,292.0,21.97,0.099,0.287,,,,,506590,0.00540607,0.000851566,1.1163e-13,6.34839,1,N,16.307
481965 (2009 EB1),20481965,True,False,1.11,0.454,12.5,0.604,1.61,425.0,0.847,324.0,20.69,,,,,,,481965,-0.00277187,0.000436923,-5.44908e-14,6.34407,1,N,21.895
388188 (2006 DP14),20388188,True,True,1.36,0.776,11.8,0.305,2.42,582.0,0.618,164.0,19.0,,,5.7868,,,,388188,-0.00299619,0.000475571,-3.27734e-14,6.3002,1,N,16.077
163000 (2001 SW169),20163000,True,False,1.25,0.0514,3.55,1.18,1.31,509.0,0.707,168.0,19.25,,,69.97,,,,163000,-0.00132922,0.000211006,-3.48793e-14,6.29943,1,S,25.153
467460 (2006 JF42),20467460,True,True,0.672,0.582,5.94,0.281,1.06,201.0,1.79,304.0,19.05,,,13.98,,,,467460,0.00268474,0.000429884,3.42893e-14,6.24528,1,X,17.073
162361 (2000 AF6),20162361,True,True,0.876,0.411,2.71,0.516,1.24,299.0,1.2,310.0,20.24,,,3.4558,,,,162361,0.00162261,0.000261003,2.9739e-14,6.21684,1,N,32.074
(2007 RY19),3384484,True,False,1.11,0.253,12.6,0.827,1.39,426.0,0.846,147.0,22.75,,,,,,,2007 RY19,-0.00537468,0.000884232,-1.24648e-13,6.07836,1,N,13.993
4034 Vishnu (1986 PA),20004034,True,True,1.06,0.444,11.2,0.589,1.53,398.0,0.904,262.0,18.49,0.42,0.52,44.4,,,,4034,-0.00184073,0.00030607,-3.58242e-14,6.01408,1,Q,36.036
163023 (2001 XU1),20163023,True,False,0.797,0.546,27.1,0.362,1.23,260.0,1.38,350.0,19.52,,,,,,,163023,0.00308809,0.000517791,4.555e-14,5.96396,1,N,20.12
612358 (2002 JE9),20612358,True,True,1.07,0.417,8.77,0.622,1.51,402.0,0.896,200.0,21.4,,,,,,,612358,-0.00392106,0.000658367,-7.8854e-14,5.95574,1,N,21.982
467336 (2002 LT38),20467336,True,True,0.845,0.314,6.18,0.58,1.11,284.0,1.27,268.0,20.61,,,14.95,,,,467336,0.00149077,0.000251222,2.9094e-14,5.93406,1,N,21.076
(2006 KS1),3333612,True,False,1.47,0.315,3.65,1.01,1.93,651.0,0.553,6.85,25.41,,,,,,,2006 KS1,0.239572,0.0404431,6.16194e-12,5.92369,Rej.,N,16.03
745311 (2010 XC15),20745311,True,True,0.732,0.42,8.24,0.425,1.04,229.0,1.57,95.6,21.48,,,2.673,,,,2010 XC15,-0.00978819,0.00165439,-1.63298e-13,5.91649,1,N,12.06
(2015 TC25),3729281,True,False,1.03,0.116,3.74,0.909,1.15,381.0,0.945,181.0,29.34,,,0.03715,,,,2015 TC25,4.64561,0.78839,1.09452e-10,5.89253,Rej.,N,1.539
242191 (2003 NZ6),20242191,True,False,0.793,0.492,18.2,0.403,1.18,258.0,1.39,132.0,19.02,0.37,0.334,13.531,,,,242191,0.00163719,0.000277942,2.60169e-14,5.89041,1,S,19.05
8014 (1990 MF),20008014,True,True,1.75,0.456,1.87,0.951,2.54,844.0,0.427,102.0,18.88,0.7,,50.09,,,,8014,-0.000974993,0.000166662,-2.40318e-14,5.85012,1,S,31.8
310442 (2000 CH59),20310442,True,True,0.862,0.423,3.26,0.497,1.23,292.0,1.23,218.0,19.82,,,6.0542,,,,310442,0.00213081,0.000366371,3.82653e-14,5.81599,1,Q,21.016
613471 (2006 RJ1),20613471,True,False,0.95,0.3,1.41,0.665,1.24,338.0,1.06,20.0,22.27,,,,,,,613471,-0.00919667,0.0015818,-1.92065e-13,5.81405,1,N,14.272
452334 (2001 LB),20452334,True,False,1.24,0.189,20.8,1.0,1.47,502.0,0.717,325.0,21.08,,,,,,,452334,-0.00104343,0.000179551,-2.63399e-14,5.81136,1,X,22.01
337248 (2000 RH60),20337248,True,False,0.826,0.551,19.6,0.371,1.28,274.0,1.31,21.5,20.08,0.846,0.025,25.2,,,,337248,-0.0024044,0.000413923,-3.58156e-14,5.80881,Rej.,N,21.122
(1998 KY26),3012392,True,False,1.23,0.2,1.49,0.983,1.47,498.0,0.724,0.983,25.91,0.011,0.52,0.089193,,,,1998 KY26,-0.00917058,0.00158146,-2.29986e-13,5.79882,1,N,22.552
(2014 WF201),3698475,True,False,1.11,0.111,8.5,0.988,1.23,428.0,0.841,171.0,25.59,,,0.4743,,,,2014 WF201,-0.0906285,0.015841,-2.22037e-12,5.72115,Rej.,B,7.014
(2019 QU2),3843622,True,False,0.824,0.705,11.3,0.243,1.4,273.0,1.32,11.4,22.21,,,,,,,2019 QU2,-0.00633625,0.00111041,-6.81698e-14,5.70621,1,N,18.045
(2008 LG2),3413165,True,False,0.851,0.23,3.06,0.656,1.05,287.0,1.26,252.0,25.34,,,,,,,2008 LG2,-0.0264109,0.00463117,-5.445e-13,5.70286,1,N,15.031
(1999 SH10),3022971,True,False,1.1,0.131,9.59,0.955,1.24,421.0,0.856,313.0,22.75,,,0.1264,,,,1999 SH10,-0.00245949,0.000431833,-5.96509e-14,5.69547,1,A,22.965
350751 (2002 AW),20350751,True,True,1.07,0.257,0.574,0.796,1.35,405.0,0.889,37.7,20.82,,,4.647,,,,350751,-0.00240204,0.000423782,-5.46857e-14,5.66811,1,N,31.797
306383 (1993 VD),20306383,True,True,0.876,0.552,2.07,0.393,1.36,299.0,1.2,127.0,21.49,,,0.94345,,,,306383,-0.00163629,0.000289523,-2.50985e-14,5.65166,1,N,28.153
138852 (2000 WN10),20138852,True,False,1.0,0.298,21.5,0.703,1.3,366.0,0.983,91.1,20.3,,,4.4622,,,,138852,0.0015861,0.000281193,3.40408e-14,5.64061,1,S,22.092
443880 (2001 UZ16),20443880,True,True,1.76,0.427,12.7,1.01,2.51,853.0,0.422,129.0,19.38,0.228,0.593,13.719,,,,443880,-0.00204591,0.000364149,-5.23009e-14,5.61833,1,C,21.054
(1997 XE10),3007642,True,False,1.87,0.478,6.29,0.977,2.77,935.0,0.385,328.0,24.53,,,,,,,1997 XE10,0.0286585,0.00511052,7.12936e-13,5.60775,Rej.,N,23.08
416002 (2002 BN),20416002,True,False,0.875,0.546,27.8,0.397,1.35,299.0,1.2,305.0,20.49,,,,,,,416002,-0.00414861,0.000741215,-6.40985e-14,5.59705,1,N,18.026
465617 (2009 EK1),20465617,True,True,1.24,0.229,9.12,0.957,1.53,505.0,0.713,155.0,21.36,,,,,,,465617,-0.0045441,0.000813554,-1.12963e-13,5.58549,Rej.,N,21.391
614470 Flordeneu (2009 ST19),20614470,True,True,2.36,0.595,6.73,0.954,3.76,1320.0,0.272,168.0,18.38,,,,,,,614470,0.0140767,0.00252375,3.31201e-13,5.57772,Rej.,N,22.133
153201 (2000 WO107),20153201,True,True,0.911,0.781,7.77,0.2,1.62,318.0,1.13,313.0,19.3,0.51,0.129,5.022,,,,153201,-0.00235278,0.000422844,-2.06622e-14,5.56417,Rej.,M,22.127
412983 (1996 FO3),20412983,True,True,1.44,0.29,5.81,1.02,1.86,632.0,0.569,72.4,20.16,,,,,,,412983,-0.00319114,0.000575201,-8.26533e-14,5.54787,1,N,26.166
478784 (2012 UV136),20478784,True,False,1.01,0.14,2.1,0.868,1.15,370.0,0.973,245.0,25.6,,,,,,,478784,-0.00391848,0.000707056,-9.08345e-14,5.54197,1,N,8.613
741081 (2005 LW3),20741081,True,True,1.44,0.464,6.02,0.772,2.11,630.0,0.571,293.0,21.67,,,3.6,,,,2005 LW3,-0.00340604,0.000616367,-7.54562e-14,5.52599,1,N,17.593
153814 (2001 WN5),20153814,True,True,1.71,0.467,1.92,0.912,2.51,818.0,0.44,287.0,18.28,0.932,0.097,4.253,,,,153814,0.00448789,0.000815342,1.08123e-13,5.5043,Rej.,C,27.006
4688 (1980 WF),20004688,True,False,2.23,0.518,6.37,1.08,3.39,1220.0,0.295,163.0,19.6,0.6,0.18,,,,,4688,-0.00136175,0.000249036,-3.51736e-14,5.46809,1,S,40.353
192559 (1998 VO),20192559,True,True,1.07,0.227,10.1,0.831,1.32,407.0,0.884,176.0,20.43,,,,,,,192559,-0.00157392,0.000288965,-3.64497e-14,5.44673,1,N,20.008
410777 (2009 FD),20410777,True,False,1.16,0.493,3.12,0.59,1.74,459.0,0.785,50.4,22.18,0.472,0.01,4.0,,,,410777,0.00383728,0.000707924,7.37763e-14,5.42046,1,C,11.726
199145 (2005 YY128),20199145,True,True,1.65,0.732,3.77,0.441,2.86,773.0,0.466,87.7,18.3,,,15.59,,,,199145,0.00698316,0.00129333,9.82011e-14,5.39937,Rej.,N,53.04
251732 (1998 HG49),20251732,True,False,1.2,0.113,4.19,1.07,1.34,480.0,0.749,188.0,21.76,,,,,,,251732,-0.00372337,0.000692312,-9.48557e-14,5.37816,1,N,25.038
(2003 GQ22),3152317,True,True,0.872,0.181,17.0,0.714,1.03,298.0,1.21,105.0,21.34,,,,,,,2003 GQ22,0.00459633,0.000861131,9.77189e-14,5.33756,1,N,18.1
29075 (1950 DA),20029075,True,True,1.7,0.508,12.2,0.837,2.56,809.0,0.445,41.3,17.28,1.3,0.07,2.1216,,,,29075,-0.000272929,5.11567e-05,-6.21423e-15,5.33516,1,L,73.41
(2012 HN13),3602837,True,False,1.41,0.308,4.07,0.974,1.84,611.0,0.59,7.88,22.96,,,,,,,2012 HN13,-0.00414045,0.000782549,-1.0474e-13,5.29098,1,N,10.431
(2010 FX9),3512704,True,False,1.13,0.367,3.77,0.716,1.55,440.0,0.819,64.8,24.06,0.03,0.425,,,,,2010 FX9,-0.010992,0.0020822,-2.38242e-13,5.27901,1,N,12.019
(2005 TG50),3293922,True,False,0.923,0.135,2.39,0.798,1.05,324.0,1.11,75.2,24.83,,,,,,,2005 TG50,-0.0103111,0.00195386,-2.29189e-13,5.27728,Rej.,N,16.014
526798 (2007 AA9),20526798,True,False,0.858,0.42,6.8,0.497,1.22,290.0,1.24,5.44,22.58,,,,,,,526798,-0.00596005,0.00113486,-1.07031e-13,5.25181,1,N,16.099
(2005 EY169),3274304,True,False,1.31,0.233,20.9,1.0,1.61,546.0,0.66,274.0,22.29,,,,,,,2005 EY169,-0.00500398,0.000962455,-1.27426e-13,5.19918,1,N,2.973
612050 (1997 GL3),20612050,True,True,2.27,0.784,6.68,0.49,4.05,1250.0,0.288,139.0,19.14,,,7.572,,,,612050,-0.00229874,0.000443743,-3.18679e-14,5.18034,1,V,24.172
(2008 BP16),3401191,True,False,0.829,0.65,29.2,0.29,1.37,276.0,1.31,120.0,21.81,,,,,,,2008 BP16,-0.00645744,0.00125089,-8.00103e-14,5.16229,1,N,14.968
2063 Bacchus (1977 HB),20002063,True,False,1.08,0.349,9.43,0.701,1.45,409.0,0.881,235.0,17.21,1.024,0.203,14.904,,,,2063,-0.000559025,0.000108331,-1.19994e-14,5.16036,1,Q,46.218
(2017 BM123),3768609,True,False,1.31,0.297,7.83,0.922,1.7,549.0,0.656,265.0,23.81,,,2.1503,,,,2017 BM123,-0.00336603,0.000654189,-8.27887e-14,5.14535,1,N,6.089
(2002 EW8),3117430,True,False,1.85,0.46,11.4,0.998,2.7,917.0,0.393,168.0,23.84,,,,,,,2002 EW8,0.00682734,0.0013306,1.72219e-13,5.13103,1,N,15.107
(2015 LA2),3720924,True,False,0.883,0.281,7.71,0.635,1.13,303.0,1.19,14.5,23.01,,,,,,,2015 LA2,-0.00529849,0.00103927,-1.08014e-13,5.09828,1,N,10.021
204131 (2003 YL),20204131,True,False,1.15,0.632,5.65,0.421,1.87,448.0,0.803,8.47,19.94,,,10.27,,,,204131,-0.00307441,0.000604044,-4.65122e-14,5.08971,1,N,21.076
(2002 GD10),3120896,True,False,1.22,0.131,19.2,1.06,1.38,490.0,0.734,222.0,22.71,,,0.7356,,,,2002 GD10,-0.010164,0.00199855,-2.5952e-13,5.08566,1,N,19.543
(2008 WT62),3440396,True,False,0.884,0.354,18.2,0.571,1.2,304.0,1.19,33.9,23.11,,,,,,,2008 WT62,-0.0160259,0.00316016,-3.10465e-13,5.07122,1,N,9.979
(2014 US7),3693721,True,False,0.859,0.273,9.86,0.624,1.09,291.0,1.24,83.6,26.6,,,,,,,2014 US7,-0.269982,0.0532839,-5.46183e-12,5.06687,Rej.,N,4.0
(2013 BA74),3625704,True,False,1.75,0.445,5.22,0.975,2.53,849.0,0.424,171.0,25.4,,,,,,,2013 BA74,0.0307249,0.00607127,7.6947e-13,5.0607,Rej.,N,7.006
19356 (1997 GH3),20019356,True,False,2.51,0.558,3.01,1.11,3.91,1450.0,0.248,93.2,17.0,0.91,0.34,6.714,,,,19356,-0.00758236,0.00149877,-1.91037e-13,5.05905,Rej.,S,28.09
433 Eros (A898 PA),20000433,True,False,1.46,0.223,10.8,1.13,1.78,643.0,0.56,311.0,10.38,16.84,0.25,5.27,0.0004463,,,433,-7.25751e-05,1.43526e-05,-1.96112e-15,5.05658,Rej.,S,95.091
152828 (1999 VT25),20152828,True,True,1.16,0.523,5.15,0.554,1.77,458.0,0.787,208.0,21.26,,,,,,,152828,0.00378427,0.000751863,6.97632e-14,5.0332,1,N,20.843
457662 (2009 DZ),20457662,True,True,1.45,0.302,14.1,1.01,1.89,640.0,0.562,214.0,22.0,,,,,,,457662,-0.00316727,0.000637552,-8.17016e-14,4.96787,1,N,14.105
375505 (2008 UN90),20375505,True,False,1.4,0.126,17.5,1.23,1.58,608.0,0.592,121.0,20.2,,,,,,,375505,0.00436965,0.000879922,1.20018e-13,4.96595,Rej.,N,22.467
154007 (2002 BY),20154007,True,False,1.82,0.347,2.73,1.19,2.45,895.0,0.402,190.0,18.12,,,14.91,,,,154007,0.00482685,0.00097274,1.34879e-13,4.96211,Rej.,M,37.539
152667 (1998 FR11),20152667,True,False,2.81,0.708,6.68,0.821,4.79,1720.0,0.21,293.0,16.43,,,,,,,152667,0.011287,0.00228152,2.23502e-13,4.94714,Rej.,N,66.845
267759 (2003 MC7),20267759,True,False,1.37,0.184,21.2,1.12,1.63,588.0,0.612,5.44,18.91,,,,,,,267759,-0.00114383,0.000231269,-3.04965e-14,4.94589,Rej.,N,68.821
(2011 GE3),3561029,True,False,0.815,0.293,6.24,0.576,1.05,268.0,1.34,120.0,25.88,,,,,,,2011 GE3,-0.0995559,0.0201697,-1.93264e-12,4.93592,Rej.,N,11.017
308635 (2005 YU55),20308635,True,True,1.16,0.43,0.34,0.659,1.65,454.0,0.792,146.0,21.91,0.4,,18.0,,,,308635,-0.00804651,0.00163056,-1.65283e-13,4.93481,Rej.,C,16.036
138404 (2000 HA24),20138404,True,True,1.14,0.319,2.16,0.776,1.5,444.0,0.811,104.0,19.39,,,3.9077,,,,138404,0.00100342,0.000204104,2.26627e-14,4.9162,1,S,40.835
455184 (2000 ED14),20455184,True,True,0.835,0.567,13.8,0.362,1.31,279.0,1.29,159.0,21.23,,,,,,,455184,0.00424945,0.000869264,6.20691e-14,4.88856,1,N,21.925
3908 Nyx (1980 PA),20003908,True,False,1.93,0.459,2.19,1.04,2.81,978.0,0.368,313.0,17.45,1.0,0.23,4.42601,,,,3908,0.000549214,0.000112462,1.41751e-14,4.88357,1,V,41.791
234341 (2001 FZ57),20234341,True,False,0.944,0.604,20.7,0.374,1.51,335.0,1.07,166.0,18.93,0.344,0.493,,,,,234341,-0.00229986,0.000472209,-3.34105e-14,4.87044,1,N,32.093
380818 (2005 YV128),20380818,True,False,0.923,0.512,14.1,0.45,1.4,324.0,1.11,235.0,20.67,,,,,,,380818,0.00294636,0.00060562,4.91651e-14,4.86503,1,N,17.213
329437 (2002 OA22),20329437,True,True,0.936,0.243,6.9,0.708,1.16,331.0,1.09,51.3,19.41,,,2.6214,,,,329437,0.00084132,0.000173015,1.80285e-14,4.8627,1,Q,20.887
230111 (2001 BE10),20230111,True,True,0.823,0.369,17.5,0.519,1.13,273.0,1.32,210.0,19.27,,0.253,4.194,,,,230111,-0.00129859,0.000269621,-2.39671e-14,4.81635,1,S,21.172
483459 (2002 EM6),20483459,True,False,1.16,0.141,31.8,0.996,1.32,456.0,0.789,239.0,20.32,,,,,,,483459,0.00178062,0.000369735,4.42518e-14,4.81593,1,N,20.504
