full_name,spkid,neo,pha,a,e,i,q,ad,per,n,ma,H,diameter,albedo,rot_per,GM,spec_B,spec_T
(2016 CO246),3743897,True,False,0.995,0.126,6.29,0.869,1.12,362.0,0.993,193.0,25.8,,,,,,
7350 (1993 VA),20007350,True,False,1.36,0.391,7.26,0.826,1.89,577.0,0.624,73.4,17.16,1.921,0.069,3.58264,,,
6456 Golombek (1992 OM),20006456,True,False,2.19,0.409,8.22,1.3,3.09,1190.0,0.303,96.5,16.06,,,2.50129,,,
(1997 WQ23),3007574,True,True,1.74,0.495,2.45,0.878,2.6,836.0,0.43,107.0,20.88,,,14.6,,,
164222 (2004 RN9),20164222,True,False,1.3,0.247,16.1,0.982,1.63,544.0,0.662,29.7,20.85,,,,,,
(2002 AY1),3102728,True,True,0.779,0.437,29.9,0.439,1.12,251.0,1.43,149.0,20.85,,,,,,
(2016 AG193),3740496,True,False,1.31,0.197,28.8,1.05,1.57,548.0,0.657,225.0,23.5,,,,,,
614134 (2008 TC4),20614134,True,True,0.78,0.554,10.6,0.348,1.21,252.0,1.43,173.0,21.65,,,,,,
513126 (1998 QP),20513126,True,True,1.79,0.583,9.35,0.745,2.83,872.0,0.413,131.0,21.71,,,,,,
(2010 KP10),3523944,True,False,1.13,0.166,16.2,0.944,1.32,440.0,0.819,31.0,23.1,0.087,0.101,,,,
(2003 MK4),3157028,True,True,1.08,0.181,22.3,0.885,1.28,410.0,0.877,249.0,20.86,,,,,,
612989 (2005 LW39),20612989,True,True,1.99,0.716,28.5,0.565,3.41,1020.0,0.352,122.0,20.01,,,,,,
(2012 BA35),3596264,True,False,1.07,0.116,5.81,0.947,1.19,405.0,0.89,261.0,23.75,,,,,,
455415 (2003 GA),20455415,True,False,1.28,0.191,3.84,1.04,1.53,530.0,0.679,172.0,21.45,,,5.78,,,
247517 (2002 QY6),20247517,True,False,0.817,0.699,12.8,0.246,1.39,270.0,1.33,342.0,19.62,0.269,0.357,,,,
510190 (2011 CX7),20510190,True,False,1.3,0.323,10.5,0.88,1.72,541.0,0.666,204.0,20.46,,,,,,
(2014 UV210),3699902,True,False,1.16,0.131,0.599,1.0,1.31,453.0,0.794,282.0,26.9,,,0.5559,,,
351545 (2005 TE15),20351545,True,False,1.2,0.344,13.1,0.79,1.62,483.0,0.746,152.0,19.82,,,10.61,,,
85770 (1998 UP1),20085770,True,False,0.998,0.345,33.2,0.653,1.34,364.0,0.989,153.0,20.72,,,,,,
312942 (1995 EK1),20312942,True,False,2.26,0.777,9.08,0.504,4.02,1240.0,0.29,340.0,17.36,,,8.444,,,
(2010 VW75),3551068,True,False,2.72,0.601,1.1,1.08,4.35,1640.0,0.22,136.0,21.88,,,0.180062,,,
(2011 GP59),3562830,True,False,0.869,0.258,8.51,0.645,1.09,296.0,1.22,253.0,24.3,,,0.12251,,,
,,False,False,,,,,,,,,,,,,,,
(2003 YS17),3170204,True,True,0.93,0.313,6.53,0.639,1.22,328.0,1.1,40.1,21.6,,,,,,
613286 (2005 YQ96),20613286,True,True,0.743,0.334,22.2,0.495,0.991,234.0,1.54,210.0,20.63,,,,,,
307070 (2002 AV31),20307070,True,False,1.31,0.249,15.0,0.983,1.64,547.0,0.658,30.0,20.62,0.282,0.117,,,,
494690 (2004 JQ1),20494690,True,True,1.19,0.45,32.8,0.656,1.73,476.0,0.756,111.0,20.1,,,,,,
(2022 UY),54316897,True,False,0.997,0.114,15.6,0.883,1.11,364.0,0.99,270.0,25.49,,,,,,
533638 (2014 KT86),20533638,True,False,1.19,0.168,22.5,0.988,1.39,473.0,0.762,237.0,20.39,,,,,,
(2009 SV17),3467354,True,False,2.71,0.585,3.44,1.12,4.29,1630.0,0.221,201.0,19.61,,,17.34,,,
(2013 UG1),3652985,True,False,0.798,0.483,10.7,0.412,1.18,260.0,1.38,84.1,22.59,,,0.15558,,,
408982 (2002 SP),20408982,True,False,0.905,0.6,20.9,0.361,1.45,314.0,1.15,226.0,20.78,,,,,,
469219 Kamo`oalewa (2016 HO3),20469219,True,False,1.0,0.102,7.8,0.899,1.1,366.0,0.984,46.2,24.31,,,0.467,,,
276111 (2002 GM9),20276111,True,False,1.87,0.349,17.3,1.21,2.52,930.0,0.387,18.7,18.6,,,,,,
152754 (1999 GS6),20152754,True,True,1.19,0.497,2.02,0.599,1.78,475.0,0.758,227.0,19.22,0.414,0.216,8.021,,,
496901 (2001 HB),20496901,True,True,1.31,0.694,9.28,0.402,2.23,550.0,0.654,162.0,20.69,,,,,,
(2017 BP32),3767259,True,False,1.31,0.21,23.7,1.04,1.59,549.0,0.655,303.0,23.38,,,,,,
337252 (2000 SD8),20337252,True,False,1.13,0.314,6.55,0.775,1.48,438.0,0.822,84.4,20.82,,,,,,
425755 (2011 CP4),20425755,True,True,0.912,0.87,9.47,0.118,1.71,318.0,1.13,239.0,21.12,,,,,,
(2016 UZ40),3761739,True,False,2.07,0.733,2.35,0.553,3.59,1090.0,0.33,354.0,23.4,,,,,,
(2021 CP6),54117567,True,False,2.11,0.527,2.72,0.998,3.22,1120.0,0.322,173.0,22.9,,,,,,
(2005 RD34),3290809,True,False,1.33,0.265,19.9,0.975,1.68,558.0,0.645,131.0,20.43,,,,,,
525484 (2005 GL),20525484,True,True,1.06,0.306,15.9,0.733,1.38,396.0,0.908,282.0,21.3,,,,,,
136818 Selqet (1997 MW1),20136818,True,False,0.938,0.346,12.8,0.613,1.26,332.0,1.09,269.0,18.98,,,,,,
175729 (1998 BB10),20175729,True,True,1.27,0.425,11.5,0.732,1.81,524.0,0.688,196.0,20.44,,,,,,
256004 (2006 UP),20256004,True,False,1.58,0.3,2.29,1.11,2.06,728.0,0.495,206.0,23.02,,,,,,
401856 (2000 KW43),20401856,True,True,1.45,0.478,24.3,0.758,2.15,639.0,0.563,244.0,20.27,,,,,,
6037 (1988 EG),20006037,True,True,1.27,0.5,3.51,0.636,1.91,524.0,0.687,165.0,18.86,,,2.7602,,,
(2007 PB8),3381230,True,False,0.88,0.445,16.6,0.489,1.27,302.0,1.19,253.0,21.36,,,,,,
(2008 BX2),3400310,True,False,0.857,0.341,3.14,0.565,1.15,290.0,1.24,306.0,23.6,,,,,,
(2003 DF16),3150196,True,False,1.78,0.437,26.3,1.0,2.56,870.0,0.414,224.0,20.05,,,,,,
(2008 CE119),3402642,True,False,1.21,0.176,7.73,0.995,1.42,485.0,0.742,91.5,25.55,,,,,,
(2016 GE1),3748560,True,False,2.06,0.52,10.7,0.991,3.14,1080.0,0.333,79.8,26.7,,,0.009438,,,
1864 Daedalus (1971 FA),20001864,True,False,1.46,0.614,22.2,0.563,2.36,645.0,0.558,258.0,14.84,3.7,0.273,8.572,,,
847431 (1994 CJ1),20847431,True,True,1.49,0.325,2.31,1.01,1.98,664.0,0.542,113.0,21.51,,,30.0,,,
390725 (2003 HB),20390725,True,True,0.85,0.38,18.1,0.527,1.17,286.0,1.26,131.0,19.69,0.293,0.271,,,,
(2009 JR2),3459812,True,False,1.25,0.179,19.7,1.03,1.47,510.0,0.705,238.0,22.95,,,,,,
(2012 XE133),3620867,True,False,0.723,0.433,6.73,0.41,1.04,225.0,1.6,205.0,23.3,,,,,,
(2019 QG),3843572,True,True,0.822,0.239,12.6,0.626,1.02,272.0,1.32,323.0,21.38,,,,,,
508772 (1998 WP7),20508772,True,False,1.23,0.433,22.0,0.695,1.76,495.0,0.727,29.1,19.85,,,,,,
665390 (2009 HD82),20665390,True,False,1.25,0.477,5.8,0.656,1.85,513.0,0.702,228.0,21.69,,,,,,
(2016 GL2),3749032,True,False,1.45,0.265,14.9,1.07,1.84,639.0,0.564,197.0,23.67,,,,,,
468727 (2010 JE87),20468727,True,True,0.904,0.437,16.9,0.509,1.3,314.0,1.15,293.0,20.77,0.308,0.108,,,,
344074 (1997 UH9),20344074,True,False,0.83,0.475,25.5,0.436,1.22,276.0,1.3,209.0,19.01,,,,,,
163348 (2002 NN4),20163348,True,True,0.876,0.435,5.42,0.495,1.26,299.0,1.2,329.0,20.05,0.735,0.03,14.5,,,
525268 (2004 XL14),20525268,True,True,0.76,0.41,21.5,0.448,1.07,242.0,1.49,78.2,21.43,,,,,,
86666 (2000 FL10),20086666,True,False,1.46,0.427,29.0,0.838,2.09,646.0,0.557,224.0,16.88,1.165,0.228,206.0,,,
3671 Dionysus (1984 KD),20003671,True,True,2.2,0.544,13.5,1.0,3.39,1190.0,0.303,252.0,16.49,1.5,0.16,2.7053,,,
(2000 AH205),3092248,True,False,1.15,0.407,2.59,0.681,1.61,449.0,0.802,96.7,22.6,,,,,,
508908 (2003 YX1),20508908,True,True,0.88,0.267,5.76,0.645,1.11,301.0,1.19,315.0,20.95,,,,,,
136897 (1998 HJ41),20136897,True,False,1.36,0.125,38.9,1.19,1.53,581.0,0.619,22.3,18.56,,,15.3,,,
(2003 GH21),3152315,True,False,1.48,0.262,20.1,1.09,1.87,659.0,0.546,219.0,21.59,,,,,,
329275 (1999 VP6),20329275,True,False,1.38,0.304,12.8,0.959,1.8,591.0,0.609,63.1,20.1,,,,,,
161989 Cacus (1978 CA),20161989,True,True,1.12,0.214,26.1,0.883,1.36,434.0,0.829,310.0,17.31,1.9,0.09,3.7538,,,
(2016 UW80),3762440,True,False,1.16,0.169,13.0,0.967,1.36,459.0,0.784,346.0,23.91,,,,,,
216115 (2006 SU19),20216115,True,True,1.53,0.587,2.09,0.631,2.42,689.0,0.522,302.0,18.91,,,,,,
398188 Agni (2010 LE15),20398188,True,True,0.865,0.273,13.3,0.628,1.1,294.0,1.23,253.0,19.33,0.462,0.137,21.99,,,
90373 (2003 SZ219),20090373,True,False,1.63,0.204,9.87,1.29,1.96,758.0,0.475,227.0,18.8,,,,,,
(2017 DN109),3770288,True,True,1.2,0.827,7.09,0.207,2.18,478.0,0.754,289.0,21.82,,,,,,
370307 (2002 RH52),20370307,True,False,1.98,0.491,16.2,1.01,2.95,1020.0,0.354,74.1,16.97,,,4.218,,,
313276 (2002 AX1),20313276,True,False,0.88,0.542,33.0,0.403,1.36,301.0,1.19,69.7,19.86,,,131.0,,,
452376 (2002 AC5),20452376,True,True,1.76,0.494,16.5,0.891,2.63,853.0,0.422,99.3,19.97,,,,,,
864101 (2014 WL368),20864101,True,False,1.67,0.235,7.95,1.28,2.06,787.0,0.457,57.1,19.63,,,,,,
474163 (1999 SO5),20474163,True,True,1.09,0.0645,13.4,1.02,1.16,413.0,0.872,203.0,20.81,,,1.38,,,
138911 (2001 AE2),20138911,True,False,1.35,0.0817,1.66,1.24,1.46,573.0,0.629,211.0,19.44,,,15.88,,,
10145 (1994 CK1),20010145,True,False,1.9,0.633,4.55,0.698,3.1,957.0,0.376,139.0,17.0,,,49.2892,,,
354030 (2001 RB18),20354030,True,False,2.35,0.539,4.18,1.08,3.61,1310.0,0.274,253.0,18.61,,,26.755,,,
7341 (1991 VK),20007341,True,True,1.84,0.506,5.41,0.91,2.77,913.0,0.394,196.0,16.96,0.982,0.235,4.2096,,,
286079 (2001 TW1),20286079,True,False,0.911,0.526,31.3,0.432,1.39,318.0,1.13,349.0,19.29,,,,,,
(2007 US12),3390647,True,False,0.906,0.515,8.8,0.44,1.37,315.0,1.14,66.5,22.13,,,,,,
137924 (2000 BD19),20137924,True,False,0.876,0.895,25.8,0.092,1.66,300.0,1.2,333.0,17.5,0.97,0.247,10.57,,,
162825 (2001 BO61),20162825,True,True,1.77,0.744,9.07,0.453,3.09,862.0,0.417,146.0,17.97,,,,,,
524196 (2001 QP181),20524196,True,False,2.24,0.53,4.52,1.05,3.43,1220.0,0.294,106.0,18.71,,,17.05,,,
106589 (2000 WN107),20106589,True,False,2.15,0.618,14.4,0.82,3.47,1150.0,0.314,279.0,16.01,,,141.1,,,
(2010 KQ10),3523945,True,True,2.38,0.662,6.7,0.805,3.96,1340.0,0.268,99.8,21.64,,,,,,
1865 Cerberus (1971 UA),20001865,True,False,1.08,0.467,16.1,0.576,1.58,410.0,0.878,320.0,16.78,1.2,0.22,6.8039,,,
369986 (1998 SO),20369986,True,False,0.731,0.699,30.3,0.22,1.24,228.0,1.58,348.0,20.44,,,,,,
(2009 SW19),3467709,True,False,1.26,0.328,62.9,0.849,1.68,518.0,0.695,251.0,19.61,,,,,,
(2007 TH1),3387458,True,True,1.36,0.418,20.1,0.793,1.93,580.0,0.62,183.0,21.88,,,,,,
154300 (2002 UO),20154300,True,False,1.21,0.473,8.29,0.638,1.78,486.0,0.741,189.0,19.37,,,,,,
209215 (2003 WP25),20209215,True,False,0.989,0.121,2.56,0.869,1.11,359.0,1.0,269.0,24.3,,,,,,
441823 (2009 QO5),20441823,True,False,1.6,0.238,8.56,1.22,1.98,736.0,0.489,23.9,22.11,,,,,,
(2017 JF3),3774612,True,True,0.906,0.349,5.82,0.59,1.22,315.0,1.14,198.0,21.74,,,,,,
(2003 AC23),3145520,True,True,2.17,0.582,2.06,0.908,3.43,1170.0,0.308,39.7,21.9,,,,,,
23548 (1994 EF2),20023548,True,False,2.29,0.518,23.4,1.1,3.48,1270.0,0.285,67.0,17.28,,,,,,
338292 (2002 UA31),20338292,True,False,0.799,0.487,30.7,0.41,1.19,261.0,1.38,277.0,19.11,,,2.5564,,,
(2013 KS1),3638576,True,False,1.48,0.387,1.63,0.904,2.05,654.0,0.55,320.0,26.82,,,,,,
4660 Nereus (1982 DB),20004660,True,True,1.48,0.359,1.45,0.952,2.02,661.0,0.545,49.8,18.75,0.33,0.55,15.1749,,,
(2007 GU4),3373918,True,False,1.2,0.457,3.16,0.654,1.75,482.0,0.747,93.0,22.65,,,,,,
443837 (2000 TJ1),20443837,True,False,1.16,0.0808,39.5,1.07,1.25,457.0,0.788,158.0,19.68,0.253,0.399,14.09,,,
323300 (2003 UD22),20323300,True,False,1.17,0.318,10.1,0.797,1.54,461.0,0.78,240.0,19.63,,,,,,
(2008 SZ150),3428532,True,False,1.41,0.33,13.1,0.944,1.87,611.0,0.589,119.0,24.02,,,,,,
173664 (2001 JU2),20173664,True,False,1.52,0.269,4.02,1.11,1.93,683.0,0.527,337.0,19.76,,,,,,
159467 (2000 QK25),20159467,True,False,1.81,0.283,6.14,1.3,2.32,889.0,0.405,106.0,18.34,,,3.0,,,
162080 (1998 DG16),20162080,True,False,0.897,0.358,16.2,0.576,1.22,310.0,1.16,68.1,19.95,0.777,0.035,,,,
(2012 DY32),3599934,True,False,1.08,0.166,9.54,0.904,1.26,412.0,0.873,136.0,22.69,,,,,,
252558 (2001 WT1),20252558,True,False,1.09,0.397,7.16,0.657,1.52,415.0,0.867,189.0,20.37,0.533,0.062,,,,
(2013 BO27),3625068,True,False,1.16,0.513,3.05,0.565,1.75,456.0,0.789,150.0,24.11,,,,,,
(2003 FF5),3151652,True,False,1.37,0.304,6.34,0.953,1.79,585.0,0.615,15.8,23.3,,,,,,
(2018 RV3),3827426,True,False,1.6,0.359,17.7,1.02,2.17,737.0,0.488,183.0,23.03,,,,,,
(2017 TJ1),3782065,True,False,1.21,0.179,10.4,0.992,1.42,485.0,0.742,209.0,20.7,,,,,,
5604 (1992 FE),20005604,True,True,0.93,0.406,4.7,0.552,1.31,328.0,1.1,350.0,17.38,0.55,0.48,5.3375,,,
482798 (2013 QK48),20482798,True,True,1.59,0.83,19.0,0.27,2.9,729.0,0.494,107.0,18.35,,,,,,
(2011 CE50),3557530,True,False,1.01,0.188,14.9,0.821,1.2,371.0,0.97,64.4,23.14,,,,,,
257838 (2000 JQ66),20257838,True,False,2.17,0.42,7.06,1.26,3.07,1160.0,0.309,339.0,18.0,,,11.094,,,
678964 (2018 CC14),20678964,True,False,2.08,0.546,5.89,0.945,3.22,1100.0,0.328,199.0,22.4,,,,,,
11066 Sigurd (1992 CC1),20011066,True,False,1.39,0.375,36.9,0.869,1.91,600.0,0.6,315.0,15.17,2.104,0.19,8.4958,,,
410088 (2007 EJ),20410088,True,False,2.5,0.629,8.32,0.927,4.07,1440.0,0.249,276.0,18.2,1.032,0.095,4.5569,,,
(2015 TW178),3730328,True,False,1.76,0.32,9.51,1.2,2.32,852.0,0.423,107.0,21.12,,,,,,
189700 (2001 TA45),20189700,True,False,1.46,0.191,10.7,1.18,1.74,646.0,0.557,269.0,19.15,,,5.0,,,
152742 (1998 XE12),20152742,True,False,0.878,0.739,13.4,0.229,1.53,301.0,1.2,16.5,19.1,0.413,0.264,,,,
469356 (2001 DR8),20469356,True,False,1.93,0.672,6.56,0.632,3.22,976.0,0.369,149.0,18.76,,,,,,
1221 Amor (1932 EA1),20001221,True,False,1.92,0.435,11.9,1.09,2.75,972.0,0.371,59.9,17.37,1.0,,,,,
162181 (1999 LF6),20162181,True,False,1.41,0.281,18.9,1.01,1.81,611.0,0.589,237.0,18.2,0.729,0.175,37.26,,,
249615 (1999 TB5),20249615,True,False,1.97,0.394,30.4,1.19,2.74,1010.0,0.357,142.0,19.05,,,,,,
513312 (2007 DM41),20513312,True,True,1.18,0.528,2.26,0.558,1.8,469.0,0.768,159.0,22.06,,,,,,
(2021 WC8),54239534,True,True,2.62,0.701,17.7,0.783,4.45,1550.0,0.233,312.0,19.81,,,,,,
171819 (2001 FZ6),20171819,True,False,1.5,0.167,9.95,1.25,1.74,668.0,0.539,45.2,18.38,,,15.24,,,
189011 Ogmios (1997 NJ6),20189011,True,False,1.5,0.232,18.7,1.15,1.85,671.0,0.536,71.4,19.08,,,,,,
339492 (2005 GQ21),20339492,True,False,1.43,0.215,47.0,1.12,1.73,622.0,0.579,275.0,18.39,,,,,,
828534 (2004 TG10),20828534,True,True,2.24,0.861,4.19,0.311,4.16,1220.0,0.295,83.4,19.47,1.316,0.018,,,,
523605 (2004 RX10),20523605,True,False,0.92,0.351,5.96,0.597,1.24,322.0,1.12,223.0,21.49,,,,,,
322763 (2001 FA7),20322763,True,False,2.01,0.536,22.8,0.931,3.08,1040.0,0.347,306.0,17.21,1.252,0.196,,,,
(2006 TD),3347502,True,False,1.59,0.395,8.19,0.965,2.22,735.0,0.49,205.0,22.4,,,,,,
(2011 XC),3590075,True,False,1.26,0.134,21.6,1.09,1.42,514.0,0.7,274.0,20.98,,,,,,
(2021 SP4),54202335,True,True,1.47,0.405,9.92,0.873,2.06,649.0,0.554,53.6,20.96,,,,,,
625646 (2006 GX2),20625646,True,False,1.76,0.545,8.23,0.799,2.72,851.0,0.423,175.0,20.71,,,,,,
(2015 XW261),3736516,True,False,1.25,0.467,29.7,0.666,1.83,510.0,0.706,342.0,21.39,,,19.67,,,
(2017 US4),3788008,True,False,1.4,0.217,9.7,1.1,1.71,608.0,0.592,191.0,21.51,,,,,,
(2006 WF129),3361625,True,False,2.64,0.532,22.1,1.24,4.05,1570.0,0.229,162.0,19.13,,,,,,
(2003 TG2),3160853,True,False,0.908,0.316,25.5,0.621,1.19,316.0,1.14,10.0,21.36,,,,,,
(2005 NE21),3283679,True,False,0.789,0.496,10.6,0.397,1.18,256.0,1.41,171.0,21.24,,,,,,
152664 (1998 FW4),20152664,True,True,2.52,0.714,3.41,0.721,4.32,1460.0,0.246,2.25,19.7,,,17.38,,,
7336 Saunders (1989 RS1),20007336,True,False,2.31,0.482,7.2,1.19,3.42,1280.0,0.282,118.0,18.8,,,4.307,,,
162416 (2000 EH26),20162416,True,True,1.85,0.478,0.402,0.968,2.74,922.0,0.39,40.0,21.67,,,24.0,,,
(1999 SF10),3023213,True,False,1.28,0.254,1.21,0.955,1.6,529.0,0.681,1.25,24.46,,,0.0411,,,
