full_name,da_dt,e_da_dt,SNR,FAccept,normalized_name,number_only,clean_name
1998 SD9,-0.0197061,0.000106344,185.305,1,1998 sd9,1998,1998 SD9
99942,-0.00132587,1.07888e-05,122.894,1,99942,99942,99942
480883,-0.00504483,5.33209e-05,94.6127,1,480883,480883,480883
2340,-0.00173809,3.04332e-05,57.1118,1,2340,2340,2340
524522,-0.00359165,6.30856e-05,56.9329,1,524522,524522,524522
2002 BF25,0.00719033,0.000127596,56.3522,1,2002 bf25,2002,2002 BF25
2012 UR158,-0.814757,0.0181918,44.787,Rej.,2012 ur158,2012,2012 UR158
523599,0.082924,0.0019957,41.5513,Rej.,523599,523599,523599
2000 EB14,-0.0160609,0.000407499,39.4134,1,2000 eb14,2000,2000 EB14
483656,-0.00800644,0.000219259,36.5159,1,483656,483656,483656
2009 BD,-0.0667463,0.00209795,31.815,Rej.,2009 bd,2009,2009 BD
480808,-0.00327779,0.00011468,28.582,1,480808,480808,480808
152563,-0.00126754,4.44032e-05,28.5462,1,152563,152563,152563
1995 CR,-0.00866538,0.000303574,28.5445,1,1995 cr,1995,1995 CR
2010 VQ,-0.0405427,0.00147993,27.395,1,2010 vq,2010,2010 VQ
441987,-0.00183072,6.85175e-05,26.719,1,441987,441987,441987
2019 XS,-0.00773308,0.00033819,22.8661,1,2019 xs,2019,2019 XS
2002 JR100,-0.013768,0.000631808,21.7914,1,2002 jr100,2002,2002 JR100
612197,0.00961797,0.000443248,21.6989,1,612197,612197,612197
2018 CW2,-0.0291045,0.00141881,20.5134,1,2018 cw2,2018,2018 CW2
2003 BN4,-0.0071304,0.000370508,19.2449,1,2003 bn4,2003,2003 BN4
2003 FY6,-0.00516518,0.000274183,18.8384,1,2003 fy6,2003,2003 FY6
2001 CQ36,-0.00670924,0.000358476,18.716,1,2001 cq36,2001,2001 CQ36
2006 CT,-0.00388821,0.000208268,18.6693,Rej.,2006 ct,2006,2006 CT
2000 PN8,0.00523494,0.000283843,18.443,1,2000 pn8,2000,2000 PN8
2012 BB124,0.00290486,0.000160479,18.1012,1,2012 bb124,2012,2012 BB124
2011 EP51,-0.0168164,0.000962054,17.4797,1,2011 ep51,2011,2011 EP51
2003 YL118,-0.00905692,0.000542347,16.6995,1,2003 yl118,2003,2003 YL118
2002 XQ40,-0.00462836,0.000278696,16.6072,1,2002 xq40,2002,2002 XQ40
2009 WB105,0.00688506,0.00042095,16.356,1,2009 wb105,2009,2009 WB105
364136,-0.00367582,0.000225559,16.2965,1,364136,364136,364136
138175,-0.00446822,0.00027614,16.181,1,138175,138175,138175
2012 GA5,-0.00430032,0.000269532,15.9548,Rej.,2012 ga5,2012,2012 GA5
2016 GW221,-0.00735097,0.000463066,15.8746,1,2016 gw221,2016,2016 GW221
2007 TF68,-0.00805496,0.000512498,15.7171,1,2007 tf68,2007,2007 TF68
185851,0.000407794,2.64667e-05,15.4078,1,185851,185851,185851
2010 GD35,0.011357,0.000743208,15.2811,1,2010 gd35,2010,2010 GD35
2018 KR,-0.0101639,0.000680621,14.9333,1,2018 kr,2018,2018 KR
450237,-0.00526751,0.000352803,14.9304,1,450237,450237,450237
85990,-0.0014786,0.000102112,14.4802,1,85990,85990,85990
2004 JN1,-0.0164312,0.00115145,14.27,Rej.,2004 jn1,2004,2004 JN1
2011 CL50,0.194959,0.013859,14.0674,Rej.,2011 cl50,2011,2011 CL50
2003 AF23,-0.00246719,0.000179111,13.7747,1,2003 af23,2003,2003 AF23
2001 BB16,0.0153562,0.0011376,13.4988,Rej.,2001 bb16,2001,2001 BB16
139359,-0.0275336,0.00206432,13.3378,Rej.,139359,139359,139359
2000 TU28,-0.00349841,0.000262722,13.316,1,2000 tu28,2000,2000 TU28
1862,-0.000190871,1.44952e-05,13.1678,1,1862,1862,1862
363599,-0.00451215,0.000352435,12.8028,1,363599,363599,363599
326354,-0.0062738,0.000493904,12.7025,1,326354,326354,326354
401885,-0.00240239,0.000190889,12.5853,1,401885,401885,401885
477719,-0.00683813,0.000561995,12.1676,1,477719,477719,477719
2014 RQ17,-0.00164974,0.000136028,12.1279,1,2014 rq17,2014,2014 RQ17
363027,0.00098515,8.16424e-05,12.0667,1,363027,363027,363027
350462,-0.00279628,0.000232327,12.036,1,350462,350462,350462
612600,-0.00711312,0.000597993,11.895,1,612600,612600,612600
1566,-0.00050242,4.36321e-05,11.5149,1,1566,1566,1566
468468,-0.00435601,0.000380958,11.4344,1,468468,468468,468468
2016 TH94,-0.0125928,0.00110757,11.3698,1,2016 th94,2016,2016 TH94
399308,0.00300008,0.000266076,11.2753,1,399308,399308,399308
613569,0.00696277,0.00062345,11.1681,1,613569,613569,613569
2007 TF15,-0.00921977,0.0008391,10.9877,1,2007 tf15,2007,2007 TF15
437844,0.00323598,0.000297196,10.8883,1,437844,437844,437844
613995,-0.00952346,0.000876253,10.8684,Rej.,613995,613995,613995
2016 PF8,0.0102822,0.000948743,10.8377,Rej.,2016 pf8,2016,2016 PF8
2015 EG,-0.0100834,0.000936871,10.7628,1,2015 eg,2015,2015 EG
612094,-0.00342475,0.000329047,10.4081,1,612094,612094,612094
265482,0.00396322,0.00038495,10.2954,1,265482,265482,265482
85953,-0.00137951,0.000134468,10.259,1,85953,85953,85953
2021 GM1,-0.487617,0.0477267,10.2168,Rej.,2021 gm1,2021,2021 GM1
2018 HG2,-0.0186273,0.00187617,9.92841,Rej.,2018 hg2,2018,2018 HG2
264357,-0.00272009,0.000274962,9.89259,1,264357,264357,264357
2017 OU18,0.0050893,0.000517278,9.8386,1,2017 ou18,2017,2017 OU18
2005 RZ2,-0.00509821,0.000523319,9.74206,1,2005 rz2,2005,2005 RZ2
326290,-0.00178066,0.000182864,9.73762,1,326290,326290,326290
216985,0.00445685,0.000463975,9.60581,1,216985,216985,216985
1996 AE2,0.00205404,0.000215521,9.53058,1,1996 ae2,1996,1996 AE2
488453,0.00137359,0.000145685,9.42848,1,488453,488453,488453
2009 OS5,-0.0130499,0.00139317,9.36705,1,2009 os5,2009,2009 OS5
613862,-0.00819709,0.000877417,9.34229,1,613862,613862,613862
2005 VL1,-0.0102745,0.00110556,9.29348,1,2005 vl1,2005,2005 VL1
3361,0.000860842,9.37451e-05,9.1828,1,3361,3361,3361
481442,-0.00335774,0.000366546,9.16048,1,481442,481442,481442
216523,0.00205604,0.000226606,9.07319,1,216523,216523,216523
2000 EM26,-0.00991324,0.00109455,9.05691,1,2000 em26,2000,2000 EM26
297418,-0.00130648,0.000144271,9.05574,1,297418,297418,297418
2008 DB,-0.0588542,0.00655387,8.98008,Rej.,2008 db,2008,2008 DB
455176,-0.00393878,0.000438707,8.97815,1,455176,455176,455176
162004,0.00204832,0.000229502,8.92505,Rej.,162004,162004,162004
99907,0.00126128,0.000142049,8.87919,1,99907,99907,99907
310842,-0.00200148,0.000226783,8.82553,1,310842,310842,310842
4179,-0.000272046,3.09016e-05,8.80362,1,4179,4179,4179
2021 UN7,-0.0142823,0.00164033,8.70696,1,2021 un7,2021,2021 UN7
2013 GZ7,-0.00244837,0.000282283,8.67344,Rej.,2013 gz7,2013,2013 GZ7
2009 WF,0.00992309,0.00115746,8.57314,Rej.,2009 wf,2009,2009 WF
330659,0.00318565,0.000372038,8.5627,1,330659,330659,330659
175706,-0.00056997,6.68344e-05,8.52809,1,175706,175706,175706
480820,0.00158394,0.000185815,8.52426,1,480820,480820,480820
2062,-0.000628154,7.54395e-05,8.3266,1,2062,2062,2062
10302,0.00172402,0.000208107,8.28429,1,10302,10302,10302
595116,-0.00505709,0.000614229,8.23323,1,595116,595116,595116
2009 EM1,-0.0118362,0.00145603,8.12912,Rej.,2009 em1,2009,2009 EM1
385186,0.000486579,6.05113e-05,8.04111,1,385186,385186,385186
470975,-0.00449069,0.00056058,8.01081,1,470975,470975,470975
510529,-0.00543073,0.000688419,7.8887,1,510529,510529,510529
2014 WF497,0.00728239,0.000928765,7.84094,Rej.,2014 wf497,2014,2014 WF497
1997 YM9,0.00413127,0.00053109,7.77885,1,1997 ym9,1997,1997 YM9
1999 UQ,-0.00414999,0.000537129,7.72624,1,1999 uq,1999,1999 UQ
1994 WR12,-0.0108863,0.00141065,7.71719,1,1994 wr12,1994,1994 WR12
348306,-0.00473218,0.000614311,7.70322,1,348306,348306,348306
412976,0.0026462,0.000344521,7.68081,1,412976,412976,412976
363505,-0.000424475,5.5308e-05,7.67475,1,363505,363505,363505
499998,-0.00873178,0.00114873,7.60122,1,499998,499998,499998
164207,-0.00267124,0.00035223,7.5838,1,164207,164207,164207
6489,-0.00053018,7.00851e-05,7.5648,1,6489,6489,6489
2000 AA6,0.00714094,0.000946907,7.54133,Rej.,2000 aa6,2000,2000 AA6
152671,-0.00229334,0.000308055,7.44456,1,152671,152671,152671
2022 QX4,-0.0287727,0.00386977,7.43526,1,2022 qx4,2022,2022 QX4
350523,0.00282663,0.000382406,7.39171,1,350523,350523,350523
467351,0.00205213,0.000277777,7.3877,1,467351,467351,467351
494710,-0.00308348,0.00042045,7.33376,1,494710,494710,494710
2018 GY,-0.017828,0.00243387,7.32496,1,2018 gy,2018,2018 GY
334412,-0.00209749,0.000289075,7.25588,1,334412,334412,334412
2012 UK171,-0.00223149,0.000313591,7.11592,1,2012 uk171,2012,2012 UK171
416151,0.00267955,0.000377164,7.10448,1,416151,416151,416151
154590,-0.00410863,0.000579784,7.08648,1,154590,154590,154590
2015 KJ19,0.0168665,0.00238921,7.05943,1,2015 kj19,2015,2015 KJ19
2012 PG6,0.00513801,0.000728081,7.05692,1,2012 pg6,2012,2012 PG6
2018 KC2,0.0127863,0.00182445,7.00829,Rej.,2018 kc2,2018,2018 KC2
2005 TF49,-0.0013109,0.000188163,6.96683,Rej.,2005 tf49,2005,2005 TF49
2012 HL31,-0.00657734,0.000947271,6.94347,1,2012 hl31,2012,2012 HL31
2010 VK139,-0.00769662,0.00110916,6.93912,1,2010 vk139,2010,2010 VK139
66400,-0.00166537,0.000242318,6.87266,1,66400,66400,66400
2021 FR1,-0.0581567,0.00846994,6.86624,Rej.,2021 fr1,2021,2021 FR1
422686,0.00198186,0.000291381,6.8016,1,422686,422686,422686
357622,-0.00234372,0.000346512,6.76375,1,357622,357622,357622
2012 UU136,0.00404558,0.000600761,6.73409,Rej.,2012 uu136,2012,2012 UU136
2000 CK59,-0.00715646,0.0010696,6.69078,1,2000 ck59,2000,2000 CK59
283457,-0.00197923,0.000296781,6.66898,1,283457,283457,283457
424392,-0.00712048,0.00107048,6.65166,1,424392,424392,424392
2011 PU1,-0.0175863,0.00264723,6.64329,1,2011 pu1,2011,2011 PU1
492143,0.0108178,0.00163759,6.60596,Rej.,492143,492143,492143
2010 XX72,-0.00778087,0.00118481,6.56716,1,2010 xx72,2010,2010 XX72
2101,-0.00230349,0.000352815,6.52888,1,2101,2101,2101
4581,-0.0017353,0.00026613,6.5205,1,4581,4581,4581
2015 XC352,-0.032304,0.00497414,6.49438,Rej.,2015 xc352,2015,2015 XC352
2011 JW10,-0.00790606,0.00121866,6.4875,1,2011 jw10,2011,2011 JW10
69230,-0.000615884,9.55055e-05,6.44867,1,69230,69230,69230
1994 GL,0.0305503,0.00476214,6.41526,1,1994 gl,1994,1994 GL
33342,-0.00149289,0.000232787,6.41312,1,33342,33342,33342
2020 FW6,-0.00528521,0.000825018,6.40618,1,2020 fw6,2020,2020 FW6
506590,0.00540607,0.000851566,6.34839,1,506590,506590,506590
481965,-0.00277187,0.000436923,6.34407,1,481965,481965,481965
388188,-0.00299619,0.000475571,6.3002,1,388188,388188,388188
163000,-0.00132922,0.000211006,6.29943,1,163000,163000,163000
467460,0.00268474,0.000429884,6.24528,1,467460,467460,467460
162361,0.00162261,0.000261003,6.21684,1,162361,162361,162361
2007 RY19,-0.00537468,0.000884232,6.07836,1,2007 ry19,2007,2007 RY19
4034,-0.00184073,0.00030607,6.01408,1,4034,4034,4034
163023,0.00308809,0.000517791,5.96396,1,163023,163023,163023
612358,-0.00392106,0.000658367,5.95574,1,612358,612358,612358
467336,0.00149077,0.000251222,5.93406,1,467336,467336,467336
2006 KS1,0.239572,0.0404431,5.92369,Rej.,2006 ks1,2006,2006 KS1
2010 XC15,-0.00978819,0.00165439,5.91649,1,2010 xc15,2010,2010 XC15
2015 TC25,4.64561,0.78839,5.89253,Rej.,2015 tc25,2015,2015 TC25
242191,0.00163719,0.000277942,5.89041,1,242191,242191,242191
8014,-0.000974993,0.000166662,5.85012,1,8014,8014,8014
310442,0.00213081,0.000366371,5.81599,1,310442,310442,310442
613471,-0.00919667,0.0015818,5.81405,1,613471,613471,613471
452334,-0.00104343,0.000179551,5.81136,1,452334,452334,452334
337248,-0.0024044,0.000413923,5.80881,Rej.,337248,337248,337248
1998 KY26,-0.00917058,0.00158146,5.79882,1,1998 ky26,1998,1998 KY26
2014 WF201,-0.0906285,0.015841,5.72115,Rej.,2014 wf201,2014,2014 WF201
2019 QU2,-0.00633625,0.00111041,5.70621,1,2019 qu2,2019,2019 QU2
2008 LG2,-0.0264109,0.00463117,5.70286,1,2008 lg2,2008,2008 LG2
1999 SH10,-0.00245949,0.000431833,5.69547,1,1999 sh10,1999,1999 SH10
350751,-0.00240204,0.000423782,5.66811,1,350751,350751,350751
306383,-0.00163629,0.000289523,5.65166,1,306383,306383,306383
138852,0.0015861,0.000281193,5.64061,1,138852,138852,138852
443880,-0.00204591,0.000364149,5.61833,1,443880,443880,443880
1997 XE10,0.0286585,0.00511052,5.60775,Rej.,1997 xe10,1997,1997 XE10
416002,-0.00414861,0.000741215,5.59705,1,416002,416002,416002
465617,-0.0045441,0.000813554,5.58549,Rej.,465617,465617,465617
614470,0.0140767,0.00252375,5.57772,Rej.,614470,614470,614470
153201,-0.00235278,0.000422844,5.56417,Rej.,153201,153201,153201
412983,-0.00319114,0.000575201,5.54787,1,412983,412983,412983
478784,-0.00391848,0.000707056,5.54197,1,478784,478784,478784
2005 LW3,-0.00340604,0.000616367,5.52599,1,2005 lw3,2005,2005 LW3
153814,0.00448789,0.000815342,5.5043,Rej.,153814,153814,153814
4688,-0.00136175,0.000249036,5.46809,1,4688,4688,4688
192559,-0.00157392,0.000288965,5.44673,1,192559,192559,192559
410777,0.00383728,0.000707924,5.42046,1,410777,410777,410777
199145,0.00698316,0.00129333,5.39937,Rej.,199145,199145,199145
251732,-0.00372337,0.000692312,5.37816,1,251732,251732,251732
2003 GQ22,0.00459633,0.000861131,5.33756,1,2003 gq22,2003,2003 GQ22
29075,-0.000272929,5.11567e-05,5.33516,1,29075,29075,29075
2012 HN13,-0.00414045,0.000782549,5.29098,1,2012 hn13,2012,2012 HN13
2010 FX9,-0.010992,0.0020822,5.27901,1,2010 fx9,2010,2010 FX9
2005 TG50,-0.0103111,0.00195386,5.27728,Rej.,2005 tg50,2005,2005 TG50
526798,-0.00596005,0.00113486,5.25181,1,526798,526798,526798
2005 EY169,-0.00500398,0.000962455,5.19918,1,2005 ey169,2005,2005 EY169
612050,-0.00229874,0.000443743,5.18034,1,612050,612050,612050
2008 BP16,-0.00645744,0.00125089,5.16229,1,2008 bp16,2008,2008 BP16
2063,-0.000559025,0.000108331,5.16036,1,2063,2063,2063
2017 BM123,-0.00336603,0.000654189,5.14535,1,2017 bm123,2017,2017 BM123
2002 EW8,0.00682734,0.0013306,5.13103,1,2002 ew8,2002,2002 EW8
2015 LA2,-0.00529849,0.00103927,5.09828,1,2015 la2,2015,2015 LA2
204131,-0.00307441,0.000604044,5.08971,1,204131,204131,204131
2002 GD10,-0.010164,0.00199855,5.08566,1,2002 gd10,2002,2002 GD10
2008 WT62,-0.0160259,0.00316016,5.07122,1,2008 wt62,2008,2008 WT62
2014 US7,-0.269982,0.0532839,5.06687,Rej.,2014 us7,2014,2014 US7
2013 BA74,0.0307249,0.00607127,5.0607,Rej.,2013 ba74,2013,2013 BA74
19356,-0.00758236,0.00149877,5.05905,Rej.,19356,19356,19356
433,-7.25751e-05,1.43526e-05,5.05658,Rej.,433,433,433
152828,0.00378427,0.000751863,5.0332,1,152828,152828,152828
457662,-0.00316727,0.000637552,4.96787,1,457662,457662,457662
375505,0.00436965,0.000879922,4.96595,Rej.,375505,375505,375505
154007,0.00482685,0.00097274,4.96211,Rej.,154007,154007,154007
152667,0.011287,0.00228152,4.94714,Rej.,152667,152667,152667
267759,-0.00114383,0.000231269,4.94589,Rej.,267759,267759,267759
2011 GE3,-0.0995559,0.0201697,4.93592,Rej.,2011 ge3,2011,2011 GE3
308635,-0.00804651,0.00163056,4.93481,Rej.,308635,308635,308635
138404,0.00100342,0.000204104,4.9162,1,138404,138404,138404
455184,0.00424945,0.000869264,4.88856,1,455184,455184,455184
3908,0.000549214,0.000112462,4.88357,1,3908,3908,3908
234341,-0.00229986,0.000472209,4.87044,1,234341,234341,234341
380818,0.00294636,0.00060562,4.86503,1,380818,380818,380818
329437,0.00084132,0.000173015,4.8627,1,329437,329437,329437
230111,-0.00129859,0.000269621,4.81635,1,230111,230111,230111
483459,0.00178062,0.000369735,4.81593,1,483459,483459,483459
